{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 3920173 - 6853.773 ms, process_id:0, timestamp: 2024-09-03T14:39:09.386Z}
{app_name:'VCReg', level:debug, message:793650c2 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:39:09.392Z}
{app_name:'VCReg', level:debug, message:793650c2 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:39:11.380Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 2057.274 ms, process_id:0, timestamp: 2024-09-03T14:39:11.448Z}
{app_name:'VCReg', level:debug, message:0418528b | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:43:02.043Z}
{app_name:'VCReg', level:debug, message:0418528b | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:43:04.447Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 3920173 - 2466.189 ms, process_id:0, timestamp: 2024-09-03T14:43:04.510Z}
{app_name:'VCReg', level:debug, message:fc7c19d9 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:43:04.517Z}
{app_name:'VCReg', level:debug, message:fc7c19d9 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:43:06.192Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 1721.248 ms, process_id:0, timestamp: 2024-09-03T14:43:06.238Z}
{app_name:'VCReg', level:debug, message:6b00c9b8 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:45:47.039Z}
{app_name:'VCReg', level:debug, message:6b00c9b8 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:45:49.033Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 3920175 - 2050.020 ms, process_id:0, timestamp: 2024-09-03T14:45:49.089Z}
{app_name:'VCReg', level:debug, message:7142af06 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:45:49.102Z}
{app_name:'VCReg', level:debug, message:7142af06 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:45:51.525Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 2505.671 ms, process_id:0, timestamp: 2024-09-03T14:45:51.600Z}
{app_name:'VCReg', level:debug, message:0364d34b | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:52:09.764Z}
{app_name:'VCReg', level:debug, message:0364d34b | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:52:11.565Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 1849.755 ms, process_id:0, timestamp: 2024-09-03T14:52:11.613Z}
{app_name:'VCReg', level:debug, message:e45896e1 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:52:11.618Z}
{app_name:'VCReg', level:debug, message:e45896e1 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:52:13.206Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 1642.152 ms, process_id:0, timestamp: 2024-09-03T14:52:13.260Z}
{app_name:'VCReg', level:debug, message:d06c9b13 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:53:13.539Z}
{app_name:'VCReg', level:debug, message:d06c9b13 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:53:16.492Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 3008.764 ms, process_id:0, timestamp: 2024-09-03T14:53:16.545Z}
{app_name:'VCReg', level:debug, message:12f37cce | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:53:16.551Z}
{app_name:'VCReg', level:debug, message:12f37cce | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:53:19.112Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 2607.057 ms, process_id:0, timestamp: 2024-09-03T14:53:19.157Z}
{app_name:'VCReg', level:debug, message:10a44a4b | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:55:06.102Z}
{app_name:'VCReg', level:debug, message:10a44a4b | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:55:07.799Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 3920173 - 1759.867 ms, process_id:0, timestamp: 2024-09-03T14:55:07.865Z}
{app_name:'VCReg', level:debug, message:c30ce865 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:55:07.872Z}
{app_name:'VCReg', level:debug, message:c30ce865 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:55:09.471Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 1666.340 ms, process_id:0, timestamp: 2024-09-03T14:55:09.538Z}
{app_name:'VCReg', level:debug, message:07a00521 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:55:22.559Z}
{app_name:'VCReg', level:debug, message:07a00521 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:55:24.764Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 2279.465 ms, process_id:0, timestamp: 2024-09-03T14:55:24.838Z}
{app_name:'VCReg', level:debug, message:233a82d9 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:55:24.842Z}
{app_name:'VCReg', level:debug, message:233a82d9 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:55:27.128Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 2353.068 ms, process_id:0, timestamp: 2024-09-03T14:55:27.195Z}
{app_name:'VCReg', level:debug, message:c10936be | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T15:13:04.923Z}
{app_name:'VCReg', level:debug, message:c10936be | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T15:13:06.613Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 3920173 - 1774.052 ms, process_id:0, timestamp: 2024-09-03T15:13:06.698Z}
{app_name:'VCReg', level:debug, message:5dd04b0d | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T15:13:06.703Z}
{app_name:'VCReg', level:debug, message:5dd04b0d | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T15:13:08.250Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 1592.401 ms, process_id:0, timestamp: 2024-09-03T15:13:08.295Z}
{app_name:'VCReg', level:debug, message:b5fcf559 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T18:30:51.243Z}
{app_name:'VCReg', level:debug, message:b5fcf559 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T18:30:53.995Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 3920613 - 2820.362 ms, process_id:0, timestamp: 2024-09-03T18:30:54.063Z}
{app_name:'VCReg', level:debug, message:c28b5510 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T18:30:54.074Z}
{app_name:'VCReg', level:debug, message:c28b5510 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T18:30:55.919Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 3920613 - 1942.830 ms, process_id:0, timestamp: 2024-09-03T18:30:56.019Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET / 200 6982 - 10.229 ms, process_id:0, timestamp: 2024-09-03T19:28:39.626Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/fdbfe6a5e66cd05f.css 200 228576 - 2.640 ms, process_id:0, timestamp: 2024-09-03T19:28:39.648Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/487438e31a80d454.css 200 2148 - 6.798 ms, process_id:0, timestamp: 2024-09-03T19:28:39.657Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/webpack-a79b55084825ca61.js 200 4354 - 8.139 ms, process_id:0, timestamp: 2024-09-03T19:28:39.661Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/77da69c3fc05e1fa.css 200 3466 - 12.254 ms, process_id:0, timestamp: 2024-09-03T19:28:39.666Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/69-54c0e3f4bb17ec20.js 200 112093 - 11.888 ms, process_id:0, timestamp: 2024-09-03T19:28:39.671Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/main-app-a7b94c2bd73ec7a0.js 200 514 - 20.936 ms, process_id:0, timestamp: 2024-09-03T19:28:39.677Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/fd9d1056-5e7ae3b4a37004d0.js 200 172216 - 16.279 ms, process_id:0, timestamp: 2024-09-03T19:28:39.681Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/210-0046ae15cbf1cc18.js 200 8066 - 13.570 ms, process_id:0, timestamp: 2024-09-03T19:28:39.683Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/page-71dd9e4fac7c5547.js 200 1751 - 12.437 ms, process_id:0, timestamp: 2024-09-03T19:28:39.686Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/678-3f90d081d5119afa.js 200 95598 - 11.468 ms, process_id:0, timestamp: 2024-09-03T19:28:39.692Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/layout-d76ce3c1451a1007.js 200 2369 - 13.524 ms, process_id:0, timestamp: 2024-09-03T19:28:39.694Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/media/Green.26974377.png 200 60499 - 3.716 ms, process_id:0, timestamp: 2024-09-03T19:28:39.802Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/media/c9a5bc6a7c948fb0-s.p.woff2 200 46552 - 2.418 ms, process_id:0, timestamp: 2024-09-03T19:28:39.819Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /favicon.ico 200 15406 - 4.927 ms, process_id:0, timestamp: 2024-09-03T19:28:39.898Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET / 304 - - 1.915 ms, process_id:0, timestamp: 2024-09-03T19:28:42.603Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/fdbfe6a5e66cd05f.css 304 - - 0.734 ms, process_id:0, timestamp: 2024-09-03T19:28:42.617Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/487438e31a80d454.css 304 - - 2.087 ms, process_id:0, timestamp: 2024-09-03T19:28:42.621Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/77da69c3fc05e1fa.css 304 - - 2.877 ms, process_id:0, timestamp: 2024-09-03T19:28:42.622Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/webpack-a79b55084825ca61.js 304 - - 3.947 ms, process_id:0, timestamp: 2024-09-03T19:28:42.624Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/69-54c0e3f4bb17ec20.js 304 - - 6.407 ms, process_id:0, timestamp: 2024-09-03T19:28:42.627Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/fd9d1056-5e7ae3b4a37004d0.js 304 - - 8.946 ms, process_id:0, timestamp: 2024-09-03T19:28:42.630Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/main-app-a7b94c2bd73ec7a0.js 304 - - 2.216 ms, process_id:0, timestamp: 2024-09-03T19:28:42.631Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/210-0046ae15cbf1cc18.js 304 - - 2.287 ms, process_id:0, timestamp: 2024-09-03T19:28:42.635Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/page-71dd9e4fac7c5547.js 304 - - 3.772 ms, process_id:0, timestamp: 2024-09-03T19:28:42.637Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/678-3f90d081d5119afa.js 304 - - 4.641 ms, process_id:0, timestamp: 2024-09-03T19:28:42.638Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/layout-d76ce3c1451a1007.js 304 - - 6.401 ms, process_id:0, timestamp: 2024-09-03T19:28:42.641Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/media/Green.26974377.png 304 - - 2.835 ms, process_id:0, timestamp: 2024-09-03T19:28:42.643Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET / 304 - - 0.705 ms, process_id:0, timestamp: 2024-09-03T19:28:57.684Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/fdbfe6a5e66cd05f.css 304 - - 0.611 ms, process_id:0, timestamp: 2024-09-03T19:28:57.698Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/487438e31a80d454.css 304 - - 1.986 ms, process_id:0, timestamp: 2024-09-03T19:28:57.703Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/fd9d1056-5e7ae3b4a37004d0.js 304 - - 3.135 ms, process_id:0, timestamp: 2024-09-03T19:28:57.705Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/77da69c3fc05e1fa.css 304 - - 2.718 ms, process_id:0, timestamp: 2024-09-03T19:28:57.709Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/webpack-a79b55084825ca61.js 304 - - 3.021 ms, process_id:0, timestamp: 2024-09-03T19:28:57.710Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/69-54c0e3f4bb17ec20.js 304 - - 4.093 ms, process_id:0, timestamp: 2024-09-03T19:28:57.712Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/main-app-a7b94c2bd73ec7a0.js 304 - - 7.410 ms, process_id:0, timestamp: 2024-09-03T19:28:57.716Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/page-71dd9e4fac7c5547.js 304 - - 2.293 ms, process_id:0, timestamp: 2024-09-03T19:28:57.717Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/210-0046ae15cbf1cc18.js 304 - - 4.311 ms, process_id:0, timestamp: 2024-09-03T19:28:57.720Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/678-3f90d081d5119afa.js 304 - - 2.226 ms, process_id:0, timestamp: 2024-09-03T19:28:57.721Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/layout-d76ce3c1451a1007.js 304 - - 3.088 ms, process_id:0, timestamp: 2024-09-03T19:28:57.723Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/media/Green.26974377.png 304 - - 0.613 ms, process_id:0, timestamp: 2024-09-03T19:28:57.725Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET / 304 - - 1.330 ms, process_id:0, timestamp: 2024-09-03T19:28:58.516Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/fdbfe6a5e66cd05f.css 304 - - 0.734 ms, process_id:0, timestamp: 2024-09-03T19:28:58.529Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/487438e31a80d454.css 304 - - 2.791 ms, process_id:0, timestamp: 2024-09-03T19:28:58.534Z}
